Group_Beta_abs_intra,CSK_G01,CSK_G03,AvgRet,Alpha
Beta_abs_intra_G01,4.3836,1.602,3.5901,-2.4497
Beta_abs_intra_G02,2.3406,1.5301,1.84,0.8569
Beta_abs_intra_G03,1.99,1.7625,1.728,-1.66
HML,-2.3936,0.1606,-1.8621,0.7896
t,-1.1344,0.2283,-1.083,0.4525
p,0.294,0.8306,0.3147,0.6553
